In	i
these	i
days	i
people	c
prefere	i
shopping	c
at	c
supermarkets	c
than	i
at	c
shops	c
or	c
even	c
shopping	c
areas	i
,	c
because	c
shopping	c
at	c
shop	i
is	c
less	c
enjoyable	c
and	c
you	c
spent	i
the	c
same	c
amount	c
of	c
money	c
.	c

Tina	c
,	c
guess	c
WHO	c
was	i
he	i
?	c

First	c
of	c
all	c
the	i
starring	i
that	c
was	i
supposed	c
to	c
be	c
(	i
Danny	c
Brook	c
and	c
Tina	c
Truelove	c
)	c
were	c
n't	c
there	c
,	i
I	c
was	c
so	c
enthusiastic	c
about	c
your	c
starring	i
,	c
when	c
I	c
realized	c
was	i
a	i
failure	i
,	c
even	c
though	c
they	i
do	i
good	c
,	c
it	c
was	c
n't	c
the	c
same	c
.	c

Even	c
if	c
I	c
worked	c
hard	c
on	c
it	c
,	c
I	c
was	c
very	c
surprised	c
of	i
winning	i
just	i
the	c
first	c
prize	c
.	c

In	c
my	c
opinion	c
you	c
should	c
refuse	i
my	c
money	c
because	c
the	c
evening	c
and	c
the	c
show	c
were	c
so	c
terrible	c
.	c

The	c
home	c
of	c
the	c
future	c
will	c
be	c
very	c
impersonally	i
and	c
the	c
atmosfear	i
will	c
be	c
cold	c
and	c
very	c
essencial	i
.	c

They	c
stopped	c
me	c
to	i
do	i
the	c
operetion	i
.	c

And	c
I	c
can	c
continue	c
my	c
list	c
on	i
this	c
way	c
...	c
becouse	i
science	c
never	c
stop	i
on	i
one	c
place	c
.	c

To	c
continue	c
with	c
the	c
others	i
information	c
you	c
need	c
,	c
I	c
would	c
prefer	c
to	c
sleep	c
in	c
tent	i
because	c
of	c
the	i
proximity	c
to	c
the	i
nature	c
.	c

I	c
'm	c
sure	c
all	c
the	c
things	c
which	c
are	c
based	c
on	c
electronic	c
parts	c
will	c
totally	c
change	c
.	c

We	c
're	c
looking	c
forward	c
to	c
hearing	c
from	c
you	c
.	c

I	c
find	c
the	c
reasonably-priced	c
ticket	c
excellent	c
,	c
because	c
there	c
is	i
a	c
lot	c
of	c
people	c
who	c
went	i
to	c
see	c
only	c
one	c
or	c
two	c
events	c
,	c
and	c
by	c
paying	c
the	i
all	i
events	i
ticket	c
they	i
might	c
see	c
other	c
events	c
and	c
learn	c
about	c
something	c
they	c
did	c
n't	c
expected	i
to	c
find	c
interesting	c
.	c

We	i
use	i
different	i
electric	i
kettle	i
.	c

The	c
show	c
has	i
begun	i
later	i
,	c
much	c
more	i
later	i
than	c
your	c
advertisement	c
writes	i
,	c
at	c
about	c
20:15	c
.	c

But	c
it	c
might	c
not	c
be	c
the	c
same	c
everytime	i
.	c

I	c
went	c
to	c
buy	c
the	i
ticket	c
and	c
as	c
I	c
like	c
to	c
enjoy	c
the	c
show	c
near	c
of	i
the	c
stage	c
I	c
bought	c
a	c
£	c
20	c
tiket	i
but	c
when	c
I	c
asked	c
for	c
the	i
discount	c
they	c
told	c
me	c
"	i
I	c
am	c
sorry	c
but	c
there	c
was	c
an	c
error	c
in	c
the	c
advertisement	c
,	i
It	c
will	c
be	c
impossible	c
to	c
make	i
you	c
a	c
discount	c
"	c
.	c

The	c
timer	i
of	i
my	c
radio	c
wakes	c
me	c
up	c
at	c
half	c
past	c
six	c
.	c

I	c
'm	c
the	c
teacher	c
of	c
that	i
class	i
.	c

To	c
reply	c
your	i
answer	i
,	c
it	c
was	c
realy	i
an	i
nice	c
experience	c
.	c

How	c
much	c
money	c
do	c
I	c
have	c
to	c
take	c
with	c
me	c
for	c
these	c
two	c
weeks	c
and	c
what	c
kind	c
of	c
clothes	c
do	c
I	c
have	c
to	c
bring	c
with	c
me	c
?	c

I	c
have	c
always	c
dreamed	c
about	c
going	c
camping	c
and	c
staying	c
in	c
a	c
tent	c
.	c

I	c
'm	c
crayz	i
about	c
tennis	c
and	c
swimming	c
.	c

First	c
of	c
all	c
the	c
car	i
parking	c
is	c
not	c
convinent	i
and	c
expensive	i
.	c

He	c
is	c
funny	c
and	c
easy-going	i
.	c

I	c
hope	c
that	c
you	c
will	c
find	c
this	c
composition	c
interesting	c
.	c

If	c
I	c
had	c
the	c
possibility	i
,	c
I	c
would	c
never	c
go	c
shopping	c
to	i
the	c
big	c
supermarkets	c
.	c

For	i
the	c
accommodation	c
,	c
I	c
would	c
prefer	c
a	c
log	c
cabin	c
,	c
because	c
I	c
can	i
not	i
sleep	c
in	c
tent	i
.	c

Which	c
was	c
very	c
chooking	i
for	c
her	c
mother	c
.	c

As	c
I	c
growed	i
up	c
,	c
T.V	c
was	c
one	c
of	c
the	c
mysteriest	i
things	c
like	c
a	c
telephone	c
and	c
a	c
bus	c
.	c

The	c
group	c
needs	i
to	c
found	i
a	c
good	c
microphone	c
for	c
the	c
concert	c
,	c
because	c
the	c
singer	c
lost	c
his	c
microphone	c
last	c
concert	c
.	c

We	c
had	c
a	c
lot	c
of	c
fun	c
during	c
our	c
last	c
holidays	i
and	c
we	c
took	c
a	c
lot	c
of	c
pictures	c
.	c

But	c
I	c
always	c
finds	i
it	i
not	i
look	c
nice	c
on	c
me	c
.	c

Tennis	c
is	c
just	c
something	c
new	c
that	c
I	c
recently	c
discovered	c
and	c
I	c
am	c
still	c
on	i
a	i
beginner	c
level	c
.	c

I	c
'm	c
sure	c
you	c
'll	c
find	c
this	c
book	c
an	c
interesting	c
object	c
of	c
study	c
.	c

That	c
was	c
the	c
end	c
of	c
our	c
holiday	c
,	c
and	c
next	c
year	c
for	i
sure	i
we	i
wo	c
n't	c
be	c
going	c
to	c
the	c
see	i
side	i
.	c

It	c
is	c
like	i
if	c
they	c
lose	c
their	c
concience	i
while	c
they	c
are	c
shopping	c
.	c

As	i
for	i
the	i
"	c
Over	c
The	c
Rainbow	c
"	c
presented	i
by	i
your	c
theatre	c
last	c
night	c
,	c
I	c
would	c
like	c
to	c
inform	c
you	c
of	c
the	c
following	c
problems	c
.	c

Because	c
is	i
good	i
time	c
for	c
camping	c
and	c
the	c
weather	c
is	c
lovely	c
at	c
this	c
time	c
of	c
the	c
year	c
.	c

Pat	c
my	i
sister	c
and	c
I	c
felt	c
very	c
rensposible	i
.	c

Some	c
of	c
them	c
were	c
speaking	c
with	c
her	c
,	c
I	c
was	c
n't	c
this	c
lucky	c
person	c
,	c
but	c
still	c
I	c
'm	c
happy	c
,	c
that	c
I	c
could	c
be	c
thear	i
.	c

We	c
have	c
n't	c
met	i
each	c
other	c
so	i
long	c
time	c
and	c
I	c
'll	c
tell	c
you	c
more	c
story	i
of	i
this	c
.	c

I	c
would	c
answer	c
"	c
yes	c
"	c
for	i
both	c
questions	c
.	c

All	i
the	i
best	i
wishes	i
and	c
good	c
luck	c
.	c

Do	c
you	c
suggest	c
me	i
to	i
take	i
cash	c
or	i
can	c
I	c
used	i
my	c
credit	c
card	c
?	c

At	i
the	i
end	i
,	c
the	c
theatre	c
resturant	i
was	c
closed	c
for	c
holiday	i
!	c

After	c
she	c
came	c
home	c
her	c
mother	c
was	c
sitting	c
in	c
front	c
of	c
the	c
TV	c
and	c
looked	c
after	i
the	c
lottery-numbers	i
.	c

But	c
I	c
am	c
not	c
very	c
good	c
at	c
golf	c
.	c

Fourthly	c
,	c
after	c
the	c
show	c
the	c
theatre	c
restaurant	c
was	c
closed	c
because	c
of	c
it	i
's	i
problems	c
.	c

I	c
wonder	c
if	c
you	c
could	c
tell	c
me	c
about	c
the	c
wheather	i
and	c
what	c
kind	c
of	c
clothes	c
I	c
have	i
to	c
bring	c
with	c
me	c
.	c

Except	c
these	i
two	c
things	c
,	c
it	c
was	c
quite	c
good	c
.	c

I	c
hope	c
that	c
you	c
can	c
consider	c
my	c
suggestions	c
.	c

There	c
were	c
so	c
many	c
youngsters	c
at	c
the	c
concert	c
,	c
but	c
because	c
I	c
was	c
the	c
youngest	c
in	c
a	i
helping	i
team	c
so	i
I	c
guess	c
that	c
I	c
was	c
the	c
luckiest	c
at	c
that	c
moment	c
.	c

Firstly	c
,	c
Danny	c
Brook	c
and	c
Tina	c
Truelove	c
were	c
supposed	c
to	c
perform	c
in	c
the	c
show	c
but	c
instead	c
of	c
them	c
different	c
actors	c
performed	c
badly	i
.	c

If	c
you	c
do	c
n't	c
want	c
to	c
regret	c
about	i
shopping	c
,	c
you	c
have	c
to	c
make	c
a	c
shopping	c
list	c
firstly	i
before	c
going	c
shopping	c
.	c

Thank	c
you	c
very	c
much	c
for	c
your	c
time	c
and	c
I	c
am	c
looking	c
forward	c
to	c
visiting	c
there	c
.	c

I	c
was	c
really	c
surprise	i
to	c
hear	c
that	c
.	c

Sara	c
could	c
n't	c
understand	c
the	c
fact	c
,	i
that	c
she	c
did	c
n't	c
do	c
the	c
right	c
thing	c
.	c

Because	c
we	c
have	c
a	i
free	c
time	c
on	c
15	c
March	c
afternoon	i
.	c

Also	c
,	c
I	c
belonged	c
to	c
golf	i
club	c
when	c
I	c
went	c
to	c
university	c
in	c
Japan	c
.	c

I	c
would	c
like	c
to	c
know	c
about	c
the	c
weather	c
in	c
the	c
camp	c
area	c
because	c
I	c
do	c
n't	c
know	c
what	c
kinds	c
of	c
clothes	c
I	c
have	c
to	c
bring	c
.	c

To	c
begin	c
with	c
on	i
your	c
advertisment	i
you	c
say	c
that	c
Danny	c
Brooks	c
will	c
be	c
starring	c
the	i
show	c
but	c
instead	c
their	i
was	c
a	c
different	c
actor	c
which	i
made	c
us	c
very	c
disappointed	c
.	c

I	c
was	c
so	c
excited	c
that	c
I	c
could	c
n't	c
believe	c
.	i

This	c
time	c
,	c
as	c
Katie	c
,	c
her	c
cousin	c
,	c
had	c
told	c
her	c
their	i
friend	c
Bobby	c
had	c
stolen	c
a	c
great	c
camera	c
,	c
but	c
that	c
this	c
was	c
confidential	c
,	i
Pat	c
reacted	c
violently	c
;	c
why	c
was	c
she	c
told	c
secrets	c
she	c
was	c
unable	c
to	c
keep	c
?	c

"	c
It	c
sounds	c
nice	c
but	c
I	c
do	c
n't	c
believe	c
it	c
"	i
she	c
replied	c
.	c

As	i
I	i
have	i
informed	i
you	i
all	i
the	i
fact	i
,	c
I	c
think	c
the	c
show	c
was	c
not	c
worth	c
the	c
money	c
I	c
paid	c
,	c
so	c
I	c
want	c
the	i
refund	c
for	i
£	c
15	c
.	c

I	c
enjoyed	c
the	c
festival	c
pretty	i
much	c
.	c

For	c
example	c
if	c
someday	i
I	c
forgot	c
the	i
book	c
,	c
with	i
the	i
internet	i
I	i
can	i
find	i
the	i
book	i
inside	i
it	i
,	c
and	c
more	c
information	c
.	i

The	c
smokers	c
in	c
the	c
school	c
yard	c
,	c
the	c
buffett	i
and	c
the	c
other	c
pupils	c
,	c
who	c
are	c
sitting	c
in	i
front	i
of	i
their	c
tables	c
writing	i
their	c
homework	c
.	c

I	c
'm	c
also	c
good	c
at	c
swimming	c
and	c
surfing	c
but	c
I	c
'd	c
like	c
to	c
try	c
sailing	c
.	c

Most	c
of	c
us	c
would	c
agree	c
on	c
that	c
.	c

He	c
was	c
very	c
kind	c
to	c
me	c
,	i
we	i
talked	c
many	i
things	c
and	c
after	c
the	c
concert	c
he	c
invited	c
all	c
the	c
team	c
to	c
have	c
a	i
dinner	c
,	i
yes	i
I	c
know	c
what	c
you	c
're	c
thinking	c
,	c
"	c
Dinner	c
and	c
Sting	c
"	i
yes	i
my	c
friend	c
it	i
was	c
the	c
best	c
thing	c
in	i
my	c
life	c
.	c

Some	c
people	c
do	c
n't	c
like	c
doing	c
shopping	c
at	c
all	c
and	c
they	c
can	c
well	c
explain	c
to	c
everyone	c
why	c
it	c
is	c
n't	c
enjoyable	c
.	c

I	c
have	c
been	c
playing	c
the	c
classicial	i
guitar	c
for	c
three	c
years	c
.	c

I	c
think	c
it	c
would	c
be	c
interesting	c
to	c
invite	c
young	c
compositors	i
to	c
hear	c
news	i
from	c
the	i
classical	c
music	c
.	c

We	c
both	c
know	c
this	c
is	c
not	c
true	c
,	c
or	c
shoud	i
n't	i
be	c
.	c

Some	c
people	c
when	i
they	i
are	i
in	i
a	i
sadness	i
,	i
they	i
will	i
go	i
shopping	i
to	c
forget	c
every	i
thing	i
and	c
the	c
fact	c
is	c
that	c
every	i
body	i
knows	c
how	c
to	c
shopping	i
.	c

There	c
is	c
only	c
one	c
bad	c
fhing	i
,	c
that	c
this	c
festival	c
was	c
too	c
short	c
.	c

While	c
I	i
'll	i
be	i
at	c
the	c
Camp	i
,	c
I	c
would	c
like	c
to	c
play	c
tennis	c
and	c
swimming	i
.	c

If	c
you	c
are	c
in	c
a	c
hurry	c
,	c
do	c
n't	c
go	c
shopping	c
!	c

However	c
,	c
the	c
students	c
in	c
my	c
class	c
,	i
we	i
have	c
seen	c
an	c
advertisement	c
for	c
the	c
London	c
Fashion	c
and	c
Leisure	c
Show	c
which	i
will	c
be	c
on	c
14th	c
March	c
between	c
10.00	c
to	c
19.00	c
at	c
the	c
Central	c
Exhibition	c
Hall	c
,	c
London	c
.	c

Firstly	c
,	c
in	c
your	c
advertisement	c
states	i
:	c
stars	c
and	c
artist	i
from	c
around	c
the	c
world	c
,	c
and	i
this	c
year	c
one	i
only	c
from	c
six	c
countries	c
It	i
would	c
be	c
great	c
if	c
there	c
was	i
more	c
artist	i
not	i
only	i
six	c
.	c

Concerning	c
the	c
dates	c
of	c
the	c
stay	c
,	c
I	c
will	c
only	c
be	c
able	c
to	c
come	c
during	c
the	c
first	c
two	c
weeks	c
of	c
July	c
,	c
because	c
I	c
am	c
starting	c
a	c
new	c
job	c
on	c
July	c
15th	c
.	c

It	c
is	c
the	c
only	c
month	c
that	c
I	c
can	c
have	c
my	c
holiday	c
in	i
a	i
year	c
and	c
it	c
would	i
be	c
nice	c
in	c
the	c
summer	i
time	i
.	c

What	c
a	c
pity	c
,	c
I	c
thought	c
.	c

Becouse	c
the	c
computer	c
was	c
more	c
interesting	c
than	c
my	c
friends	c
